* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 2:05:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Woofer Only 2 Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2106.219139 78.970 114.1801
2121.481671 78.596 114.3631
2136.854802 78.228 114.6591
2152.339333 77.873 115.0794
2167.936071 77.534 115.6367
2183.645829 77.217 116.3459
2199.469427 76.924 117.2238
2215.407689 76.657 118.2838
2231.461446 76.413 119.5332
2247.631536 76.191 120.9688
2263.918800 75.985 122.5771
2280.324089 75.794 124.3393
2296.848258 75.611 126.2330
2313.492167 75.435 128.2306
2330.256685 75.261 130.2984
2347.142685 75.087 132.3962
2364.151049 74.911 134.4764
2381.282662 74.732 136.4865
2398.538418 74.551 138.3771
2415.919216 74.372 140.1090
2433.425962 74.198 141.6537
2451.059570 74.034 142.9940
2468.820958 73.887 144.1271
2486.711052 73.762 145.0697
2504.730786 73.666 145.8558
2522.881098 73.600 146.5321
2541.162934 73.565 147.1483
2559.577248 73.557 147.7476
2578.125000 73.569 148.3599
2596.807157 73.593 149.0042
2615.624692 73.618 149.6878
2634.578586 73.636 150.4046
2653.669829 73.636 151.1329
2672.899414 73.611 151.8358
2692.268345 73.555 152.4650
2711.777632 73.463 152.9689
2731.428290 73.336 153.2968
2751.221345 73.172 153.4064
2771.157829 72.977 153.2748
2791.238781 72.755 152.9066
2811.465248 72.512 152.3369
2831.838284 72.256 151.6320
2852.358952 71.992 150.8854
2873.028321 71.723 150.2073
2893.847468 71.449 149.7139
2914.817480 71.170 149.5162
2935.939449 70.880 149.7078
2957.214476 70.569 150.3555
2978.643672 70.226 151.4931
3000.228152 69.839 153.1186
3021.969041 69.400 155.1998
3043.867475 68.900 157.6838
3065.924593 68.343 160.5126
3088.141547 67.735 163.6437
3110.519493 67.095 167.0694
3133.059600 66.450 170.8272
3155.763041 65.844 175.0042
3178.631001 65.333 179.7216
3201.664672 64.986 -174.9123
3224.865254 64.863 -168.8781
3248.233957 64.995 -162.3214
3271.771999 65.363 -155.5568
3295.480608 65.905 -148.9728
3319.361019 66.543 -142.9039
3343.414477 67.202 -137.5542
3367.642236 67.826 -133.0035
3392.045560 68.378 -129.2597
3416.625721 68.837 -126.3034
3441.383999 69.198 -124.1053
3466.321686 69.467 -122.6262
3491.440082 69.658 -121.8091
3516.740496 69.792 -121.5591
3542.224247 69.894 -121.7242
3567.892664 69.988 -122.0934
3593.747085 70.091 -122.4227
3619.788858 70.209 -122.4840
3646.019340 70.339 -122.1110
3672.439900 70.467 -121.2282
3699.051913 70.579 -119.8529
3725.856768 70.659 -118.0839
3752.855862 70.699 -116.0726
3780.050603 70.696 -113.9921
3807.442408 70.660 -112.0043
